name	RS	TAX	
Duck hepatitis B virus	NC_001344	12639	
Ross's goose hepatitis B virus	NC_005888	259931	
Sheldgoose hepatitis B virus	NC_005890	259898	
Snow goose hepatitis B virus	NC_005950	89623	
Heron hepatitis B virus	NC_001486	28300	
Parrot hepatitis B virus	NC_016561	1128118	
Tibetan frog hepatitis B virus	NC_030446	2169919	
Bluegill hepatitis B virus	NC_030445	2169918	
Domestic cat hepadnavirus	NC_040719	2107574	
Hepatitis B virus [GN:T40004]	NC_003977	10407	
Woolly monkey hepatitis B virus	NC_001896,NC_028129	68416	
Long-fingered bat hepatitis B virus	NC_020881	2050037	
Woodchuck hepatitis virus	NC_004107	35269	
Pomona bat hepatitis B virus	NC_038503	2049933	
Horseshoe bat hepatitis B virus	NC_024444	1508711	
Roundleaf bat hepatitis B virus	NC_024443,NC_074953	1508710	
Capuchin monkey hepatitis B virus	NC_043528	2163996	
Ground squirrel hepatitis virus	NC_001484	10406	
Asian grey shrew hepatitis B virus	NC_076022	2849741	
Tent-making bat hepatitis B virus	NC_024445,NC_074954	1508712	
White sucker hepatitis B virus	NC_027922	1690672	
Aglaonema bacilliform virus	NC_055236	1512278	
Taro bacilliform virus	NC_004450	178354	
Dioscorea bacilliform AL virus	NC_038381	1619899	
Cacao swollen shoot CD virus	NC_038378	1960255	
Canna yellow mottle associated virus	NC_030462	2560371	
Pineapple bacilliform CO virus	NC_014648	2033633	
Sugarcane bacilliform Guadeloupe A virus	NC_038382	1960252	
Banana streak GF virus	NC_007002	328670	
Taro bacilliform CH virus	NC_026819	1634914	
Cacao swollen shoot CE virus	NC_040692	2056879	
Canna yellow mottle virus	NC_038380	419782	
Pineapple bacilliform ER virus	NC_055237	2034763	
Sugarcane bacilliform Guadeloupe D virus	NC_013455	1960253	
Banana streak IM virus	NC_015507	1016853	
Grapevine Roditis leaf discoloration-associated virus	NC_027131	1471299	
Dioscorea bacilliform RT virus 1	NC_038986	2169727	
